year,state,party,votes,pc_won
1998,ANDAMAN & NICOBAR ISLANDS,BJP,51821,0.0
1998,ANDAMAN & NICOBAR ISLANDS,CPM,8272,0.0
1998,ANDAMAN & NICOBAR ISLANDS,INC,52365,1.0
1998,ANDAMAN & NICOBAR ISLANDS,IND,3691,0.0
1998,ANDAMAN & NICOBAR ISLANDS,Others,29687,0.0
1998,ANDHRA PRADESH,BJP,5836394,4.0
1998,ANDHRA PRADESH,BSP,65867,0.0
1998,ANDHRA PRADESH,CPM,921972,0.0
1998,ANDHRA PRADESH,INC,12269475,22.0
1998,ANDHRA PRADESH,IND,537578,0.0
1998,ANDHRA PRADESH,Others,2033547,4.0
1998,ANDHRA PRADESH,RJD,11447,0.0
1998,ANDHRA PRADESH,SP,23168,0.0
1998,ANDHRA PRADESH,TDP,10199463,12.0
1998,ARUNACHAL PRADESH,BJP,71505,0.0
1998,ARUNACHAL PRADESH,INC,78564,0.0
1998,ARUNACHAL PRADESH,Others,178695,2.0
1998,ASSAM,BJP,2049723,1.0
1998,ASSAM,CPM,274003,0.0
1998,ASSAM,INC,3264032,10.0
1998,ASSAM,IND,796799,1.0
1998,ASSAM,Others,1888838,2.0
1998,ASSAM,RJD,9069,0.0
1998,ASSAM,SP,93199,0.0
1998,BIHAR,BJP,8979956,20.0
1998,BIHAR,BSP,197236,0.0
1998,BIHAR,CPM,147713,0.0
1998,BIHAR,INC,2717204,5.0
1998,BIHAR,IND,734889,0.0
1998,BIHAR,Others,13882649,12.0
1998,BIHAR,RJD,9934389,17.0
1998,BIHAR,SP,780380,0.0
1998,CHANDIGARH,BJP,119787,1.0
1998,CHANDIGARH,INC,109421,0.0
1998,CHANDIGARH,IND,4426,0.0
1998,CHANDIGARH,Others,44071,0.0
1998,CHANDIGARH,RJD,498,0.0
1998,CHANDIGARH,SP,4552,0.0
1998,DADRA & NAGAR HAVELI,BJP,38970,1.0
1998,DADRA & NAGAR HAVELI,INC,2997,0.0
1998,DADRA & NAGAR HAVELI,IND,311,0.0
1998,DADRA & NAGAR HAVELI,Others,30253,0.0
1998,DAMAN & DIU,BJP,21649,1.0
1998,DAMAN & DIU,INC,1020,0.0
1998,DAMAN & DIU,IND,28927,0.0
1998,GOA,BJP,160047,0.0
1998,GOA,INC,168314,2.0
1998,GOA,IND,1656,0.0
1998,GOA,Others,202749,0.0
1998,GUJARAT,BJP,7864750,19.0
1998,GUJARAT,INC,5945219,7.0
1998,GUJARAT,IND,183804,0.0
1998,GUJARAT,Others,2207978,0.0
1998,GUJARAT,RJD,2580,0.0
1998,GUJARAT,SP,86830,0.0
1998,HARYANA,BJP,1427086,1.0
1998,HARYANA,BSP,580152,1.0
1998,HARYANA,CPM,25366,0.0
1998,HARYANA,INC,1965397,3.0
1998,HARYANA,IND,93288,0.0
1998,HARYANA,Others,3445732,5.0
1998,HARYANA,SP,15783,0.0
1998,HIMACHAL PRADESH,BJP,1224361,3.0
1998,HIMACHAL PRADESH,BSP,27459,0.0
1998,HIMACHAL PRADESH,INC,997410,1.0
1998,HIMACHAL PRADESH,IND,1081,0.0
1998,HIMACHAL PRADESH,Others,126468,0.0
1998,HIMACHAL PRADESH,SP,3889,0.0
1998,JAMMU & KASHMIR,BJP,618155,2.0
1998,JAMMU & KASHMIR,BSP,107386,0.0
1998,JAMMU & KASHMIR,INC,415354,1.0
1998,JAMMU & KASHMIR,IND,155448,0.0
1998,JAMMU & KASHMIR,Others,855140,3.0
1998,JAMMU & KASHMIR,RJD,2761,0.0
1998,JAMMU & KASHMIR,SP,4353,0.0
1998,KARNATAKA,BJP,5686151,13.0
1998,KARNATAKA,BSP,117540,0.0
1998,KARNATAKA,CPM,8127,0.0
1998,KARNATAKA,INC,7642756,9.0
1998,KARNATAKA,IND,159568,0.0
1998,KARNATAKA,Others,7479169,6.0
1998,KARNATAKA,RJD,2048,0.0
1998,KARNATAKA,SP,7311,0.0
1998,KERALA,BJP,1192046,0.0
1998,KERALA,BSP,19475,0.0
1998,KERALA,CPM,3121636,6.0
1998,KERALA,INC,5746566,8.0
1998,KERALA,IND,1013067,0.0
1998,KERALA,Others,3769035,6.0
1998,LAKSHADWEEP,INC,16014,1.0
1998,LAKSHADWEEP,Others,15050,0.0
1998,MADHYA PRADESH,BJP,12315405,30.0
1998,MADHYA PRADESH,BSP,2343027,0.0
1998,MADHYA PRADESH,CPM,28313,0.0
1998,MADHYA PRADESH,INC,10611317,10.0
1998,MADHYA PRADESH,IND,355110,0.0
1998,MADHYA PRADESH,Others,1094685,0.0
1998,MADHYA PRADESH,RJD,6689,0.0
1998,MADHYA PRADESH,SP,175461,0.0
1998,MAHARASHTRA,BJP,7081064,4.0
1998,MAHARASHTRA,BSP,237453,0.0
1998,MAHARASHTRA,CPM,190850,0.0
1998,MAHARASHTRA,INC,13744283,33.0
1998,MAHARASHTRA,IND,766477,0.0
1998,MAHARASHTRA,Others,8635138,11.0
1998,MAHARASHTRA,RJD,11177,0.0
1998,MAHARASHTRA,SP,825848,0.0
1998,MANIPUR,BJP,94543,0.0
1998,MANIPUR,INC,139434,0.0
1998,MANIPUR,IND,4668,0.0
1998,MANIPUR,Others,465220,2.0
1998,MANIPUR,RJD,45951,0.0
1998,MEGHALAYA,BJP,75618,0.0
1998,MEGHALAYA,INC,399583,2.0
1998,MEGHALAYA,Others,354526,0.0
1998,MEGHALAYA,RJD,4794,0.0
1998,MEGHALAYA,SP,4583,0.0
1998,MIZORAM,BJP,8998,0.0
1998,MIZORAM,INC,106511,0.0
1998,MIZORAM,IND,107046,1.0
1998,MIZORAM,Others,82047,0.0
1998,MIZORAM,RJD,974,0.0
1998,NAGALAND,INC,344223,1.0
1998,NAGALAND,Others,52785,0.0
1998,NATIONAL CAPITAL TERRITORY OF DELHI,BJP,2139254,6.0
1998,NATIONAL CAPITAL TERRITORY OF DELHI,BSP,98847,0.0
1998,NATIONAL CAPITAL TERRITORY OF DELHI,INC,1798165,1.0
1998,NATIONAL CAPITAL TERRITORY OF DELHI,IND,21317,0.0
1998,NATIONAL CAPITAL TERRITORY OF DELHI,Others,145560,0.0
1998,NATIONAL CAPITAL TERRITORY OF DELHI,RJD,1081,0.0
1998,NATIONAL CAPITAL TERRITORY OF DELHI,SP,12858,0.0
1998,ORISSA,BJD,3669825,9.0
1998,ORISSA,BJP,2828709,7.0
1998,ORISSA,BSP,43295,0.0
1998,ORISSA,CPM,54217,0.0
1998,ORISSA,INC,5477410,5.0
1998,ORISSA,IND,55156,0.0
1998,ORISSA,Others,1170142,0.0
1998,ORISSA,RJD,34668,0.0
1998,ORISSA,SP,12850,0.0
1998,PONDICHERRY,ADMK,102622,0.0
1998,PONDICHERRY,BSP,2589,0.0
1998,PONDICHERRY,DMK,168122,1.0
1998,PONDICHERRY,INC,131348,0.0
1998,PONDICHERRY,IND,882,0.0
1998,PONDICHERRY,Others,1958,0.0
1998,PONDICHERRY,RJD,1397,0.0
1998,PUNJAB,BJP,1063751,3.0
1998,PUNJAB,BSP,1152986,0.0
1998,PUNJAB,CPM,96893,0.0
1998,PUNJAB,INC,2356281,0.0
1998,PUNJAB,IND,447310,1.0
1998,PUNJAB,Others,3993892,9.0
1998,PUNJAB,RJD,4826,0.0
1998,RAJASTHAN,BJP,7352213,5.0
1998,RAJASTHAN,BSP,374609,0.0
1998,RAJASTHAN,CPM,225822,0.0
1998,RAJASTHAN,INC,7846072,18.0
1998,RAJASTHAN,IND,670923,1.0
1998,RAJASTHAN,Others,1033475,1.0
1998,RAJASTHAN,RJD,69153,0.0
1998,RAJASTHAN,SP,78261,0.0
1998,SIKKIM,INC,51611,0.0
1998,SIKKIM,IND,1820,0.0
1998,SIKKIM,Others,102440,1.0
1998,TAMIL NADU,ADMK,6628928,18.0
1998,TAMIL NADU,BJP,1757645,3.0
1998,TAMIL NADU,BSP,59981,0.0
1998,TAMIL NADU,CPM,161452,0.0
1998,TAMIL NADU,DMK,5140266,5.0
1998,TAMIL NADU,INC,1223102,0.0
1998,TAMIL NADU,IND,630586,1.0
1998,TAMIL NADU,Others,9966299,12.0
1998,TAMIL NADU,RJD,17970,0.0
1998,TAMIL NADU,SP,17569,0.0
1998,TRIPURA,BJP,112231,0.0
1998,TRIPURA,CPM,668736,2.0
1998,TRIPURA,INC,577174,0.0
1998,TRIPURA,IND,4284,0.0
1998,TRIPURA,Others,6845,0.0
